pair,cls,support,confidence,lift,zhang,j_bits,order_bonus
sign alreadi,religion,0.00106,0.2,4.0,0.15,0.0011,1.06
unit test,programming,0.00433,0.964,3.9,0.719,0.0078,1.03
repli email,computer,0.00213,0.491,3.9,0.364,0.0024,1.16
user interfac,java,0.00376,0.371,3.9,0.276,0.004,1.07
pleas help,philosophy,0.00196,0.276,3.9,0.205,0.002,1.72
turn old,religion,0.00131,0.198,3.9,0.147,0.0013,1.02
object orient,programming,0.00809,0.952,3.8,0.71,0.0141,1.02
softwar develop,java,0.00262,0.36,3.8,0.265,0.0027,1.09
form function,religion,0.00131,0.193,3.8,0.142,0.0012,1.24
form new,religion,0.00131,0.193,3.8,0.142,0.0012,1.3
word phrase,writing,0.00196,0.429,3.7,0.313,0.0021,1.11
year later,history,0.00204,0.403,3.7,0.294,0.0021,1.17
download page,java,0.00188,0.354,3.7,0.259,0.0019,1.36
use class,java,0.00163,0.351,3.7,0.256,0.0016,0.93
share import,philosophy,0.00866,0.26,3.7,0.191,0.0081,1.02
skin common,philosophy,0.00866,0.26,3.7,0.191,0.0081,1.0
common share,philosophy,0.00866,0.259,3.7,0.19,0.0081,1.09
next week,style,0.0009,0.216,3.7,0.158,0.0008,1.18
want chang,style,0.00106,0.213,3.7,0.155,0.001,1.51
account sign,religion,0.00106,0.188,3.7,0.138,0.001,1.48
view comment,religion,0.00098,0.188,3.7,0.137,0.0009,1.34
page view,religion,0.00114,0.187,3.7,0.136,0.001,1.7
add favorit,religion,0.00131,0.186,3.7,0.136,0.0012,1.1
comment form,religion,0.00131,0.186,3.7,0.136,0.0012,1.2
show hide,religion,0.0018,0.185,3.7,0.135,0.0016,1.04
tabl content,books,0.00368,0.45,3.6,0.325,0.0038,1.07
york time,politics,0.00229,0.359,3.6,0.26,0.0022,1.03
sourc code,java,0.00736,0.342,3.6,0.248,0.007,1.02
alreadi member,religion,0.00114,0.179,3.6,0.129,0.001,1.06
window vista,computer,0.00221,0.443,3.5,0.316,0.0022,1.0
use word,language,0.00262,0.421,3.5,0.3,0.0025,0.96
use word,writing,0.00253,0.408,3.5,0.293,0.0025,1.1
zip file,java,0.00147,0.34,3.5,0.244,0.0014,1.06
sourc project,java,0.00139,0.333,3.5,0.238,0.0013,0.88
import skin,philosophy,0.00883,0.247,3.5,0.178,0.0077,1.01
skin main,philosophy,0.00883,0.246,3.5,0.177,0.0077,1.01
free encyclopedia,philosophy,0.00401,0.245,3.5,0.175,0.0035,1.0
function new,religion,0.00131,0.178,3.5,0.127,0.0011,1.53
version adob,religion,0.00139,0.177,3.5,0.127,0.0012,1.12
link site,grammar,0.00049,0.102,3.5,0.073,0.0004,1.42
copyright notic,grammar,0.00065,0.101,3.5,0.072,0.0005,1.13
amazon com,books,0.00237,0.426,3.4,0.301,0.0022,1.01
open sourc,java,0.0112,0.326,3.4,0.233,0.01,1.01
file name,java,0.00155,0.322,3.4,0.227,0.0014,1.27
get start,java,0.00278,0.321,3.4,0.226,0.0024,1.25
deduct nonprofit,philosophy,0.00262,0.241,3.4,0.17,0.0022,1.01
nonprofit chariti,philosophy,0.00262,0.241,3.4,0.17,0.0022,1.0
point view,philosophy,0.00155,0.241,3.4,0.17,0.0013,1.08
regist tax,philosophy,0.00262,0.241,3.4,0.17,0.0022,1.0
text avail,philosophy,0.00278,0.241,3.4,0.171,0.0024,1.07
inc regist,philosophy,0.00262,0.239,3.4,0.168,0.0022,1.3
black white,style,0.0009,0.196,3.4,0.139,0.0007,1.1
contact inform,grammar,0.00041,0.1,3.4,0.071,0.0003,2.14
never use,grammar,0.00041,0.098,3.4,0.069,0.0003,1.16
want learn,grammar,0.00041,0.098,3.4,0.069,0.0003,1.13
line code,programming,0.0036,0.815,3.3,0.569,0.0045,1.04
regular express,programming,0.00441,0.806,3.3,0.561,0.0054,1.03
search result,internet,0.0027,0.465,3.3,0.323,0.0025,1.01
bug fix,java,0.00204,0.321,3.3,0.225,0.0018,1.12
download instal,java,0.00204,0.316,3.3,0.221,0.0017,1.19
sourc softwar,java,0.00139,0.315,3.3,0.219,0.0012,0.98
regular express,java,0.00172,0.313,3.3,0.218,0.0014,1.03
term gnu,philosophy,0.0027,0.236,3.3,0.165,0.0022,1.0
help improv,philosophy,0.00155,0.235,3.3,0.164,0.0013,1.13
tax deduct,philosophy,0.0027,0.231,3.3,0.16,0.0021,1.0
look great,style,0.00082,0.192,3.3,0.135,0.0007,1.12
bottom page,style,0.0009,0.19,3.3,0.132,0.0007,1.2
look good,style,0.00098,0.19,3.3,0.133,0.0008,1.28
pleas tri,religion,0.00139,0.165,3.3,0.115,0.0011,1.4
applic develop,programming,0.00327,0.8,3.2,0.554,0.004,1.06
server side,programming,0.00523,0.79,3.2,0.546,0.0062,1.02
function call,programming,0.00335,0.788,3.2,0.543,0.004,0.99
code use,java,0.00131,0.308,3.2,0.212,0.0011,1.16
bug report,java,0.00147,0.305,3.2,0.21,0.0012,1.07
veri differ,philosophy,0.00114,0.226,3.2,0.155,0.0009,1.2
load load,religion,0.00131,0.163,3.2,0.113,0.001,1.27
join free,religion,0.00123,0.16,3.2,0.109,0.0009,1.15
use site,grammar,0.00098,0.092,3.2,0.063,0.0007,2.01
rubi rail,programming,0.00425,0.776,3.1,0.531,0.0049,0.98
softwar develop,programming,0.00556,0.764,3.1,0.52,0.0062,1.06
oper system,computer,0.0058,0.397,3.1,0.271,0.0048,1.06
version avail,computer,0.00172,0.396,3.1,0.269,0.0014,1.1
year later,politics,0.00155,0.306,3.1,0.207,0.0012,1.17
new featur,java,0.00343,0.3,3.1,0.205,0.0027,1.19
use word,english,0.00172,0.276,3.1,0.188,0.0013,0.93
good thing,philosophy,0.00131,0.222,3.1,0.152,0.001,1.09
pay attent,philosophy,0.0009,0.22,3.1,0.149,0.0007,1.15
foundat inc,philosophy,0.0027,0.217,3.1,0.147,0.002,1.01
new object,religion,0.00155,0.157,3.1,0.107,0.0011,1.36
free account,religion,0.00123,0.156,3.1,0.106,0.0009,1.29
want add,religion,0.00123,0.155,3.1,0.104,0.0009,1.29
background imag,design,0.00335,0.82,3.0,0.552,0.0039,1.05
code use,programming,0.00319,0.75,3.0,0.504,0.0034,1.0
sourc code,programming,0.01586,0.738,3.0,0.498,0.0164,1.01
unit state,history,0.00499,0.332,3.0,0.223,0.0038,0.97
queri target,politics,0.00196,0.3,3.0,0.201,0.0015,1.0
target target,politics,0.00196,0.3,3.0,0.201,0.0015,1.06
target document,politics,0.00188,0.299,3.0,0.199,0.0014,1.34
blank document,java,0.00147,0.29,3.0,0.195,0.0011,1.03
target blank,java,0.0018,0.289,3.0,0.194,0.0013,1.0
under term,philosophy,0.0027,0.214,3.0,0.144,0.0019,1.06
gnu free,philosophy,0.00278,0.212,3.0,0.142,0.0019,1.13
extern link,philosophy,0.00106,0.21,3.0,0.139,0.0007,1.06
free document,philosophy,0.00278,0.21,3.0,0.139,0.0019,1.15
such thing,philosophy,0.00106,0.21,3.0,0.139,0.0007,1.14
trademark foundat,philosophy,0.0027,0.21,3.0,0.14,0.0019,1.01
share photo,style,0.00074,0.173,3.0,0.115,0.0005,1.37
day ago,religion,0.0009,0.151,3.0,0.1,0.0006,1.1
free onlin,grammar,0.00049,0.087,3.0,0.058,0.0003,0.93
term condit,grammar,0.00065,0.087,3.0,0.058,0.0004,1.02
background imag,web,0.00319,0.78,2.9,0.516,0.0034,1.13
comment copi,internet,0.00172,0.42,2.9,0.278,0.0013,1.05
forgot includ,internet,0.00172,0.42,2.9,0.278,0.0013,1.02
origin comment,internet,0.00172,0.42,2.9,0.278,0.0013,1.11
social network,internet,0.00343,0.412,2.9,0.27,0.0026,1.0
social media,internet,0.0018,0.407,2.9,0.265,0.0013,0.97
imag navig,java,0.00147,0.281,2.9,0.186,0.001,1.12
document licens,philosophy,0.00278,0.209,2.9,0.138,0.0019,1.06
peopl think,philosophy,0.00106,0.206,2.9,0.136,0.0007,0.93
relationship between,philosophy,0.00106,0.203,2.9,0.132,0.0007,0.99
spend time,philosophy,0.00123,0.203,2.9,0.132,0.0008,1.18
even better,style,0.00074,0.17,2.9,0.112,0.0005,1.03
return fals,style,0.00131,0.167,2.9,0.109,0.0008,1.23
comment comment,religion,0.00123,0.146,2.9,0.095,0.0008,1.57
next page,religion,0.00106,0.146,2.9,0.096,0.0007,1.38
old version,religion,0.00131,0.144,2.9,0.094,0.0008,1.06
click link,grammar,0.00074,0.084,2.9,0.055,0.0005,1.55
server side,web,0.0049,0.741,2.8,0.477,0.0047,1.0
sourc project,programming,0.00286,0.686,2.8,0.44,0.0026,1.08
comment file,internet,0.00172,0.404,2.8,0.261,0.0012,1.31
mobil phone,internet,0.00172,0.404,2.8,0.261,0.0012,0.99
gener public,computer,0.00147,0.36,2.8,0.233,0.001,1.1
commonli use,language,0.00147,0.34,2.8,0.218,0.001,1.13
code navig,politics,0.00139,0.283,2.8,0.184,0.0009,1.13
command line,java,0.00278,0.272,2.8,0.177,0.0019,1.02
avail download,java,0.00188,0.271,2.8,0.175,0.0012,1.28
pay attent,religion,0.00057,0.14,2.8,0.09,0.0003,1.36
page use,web,0.00351,0.717,2.7,0.452,0.0031,1.36
zip file,programming,0.00294,0.679,2.7,0.433,0.0026,1.11
applic use,programming,0.00474,0.674,2.7,0.429,0.0041,1.01
search engin,internet,0.00662,0.388,2.7,0.246,0.0045,1.02
world wide,internet,0.00213,0.382,2.7,0.24,0.0014,1.03
want learn,language,0.00139,0.333,2.7,0.212,0.0009,0.96
properti respect,java,0.00131,0.262,2.7,0.167,0.0008,1.05
use creat,java,0.0018,0.256,2.7,0.16,0.0011,1.23
find way,philosophy,0.0009,0.19,2.7,0.119,0.0005,1.19
more import,philosophy,0.00114,0.189,2.7,0.118,0.0007,1.24
function function,style,0.00082,0.159,2.7,0.101,0.0005,1.43
see more,style,0.00131,0.157,2.7,0.099,0.0008,2.53
true fals,style,0.00098,0.154,2.7,0.096,0.0005,1.64
one anoth,religion,0.00065,0.138,2.7,0.087,0.0004,1.6
come soon,religion,0.00057,0.137,2.7,0.087,0.0003,1.22
comment post,religion,0.00147,0.135,2.7,0.085,0.0008,2.04
great deal,religion,0.00057,0.135,2.7,0.084,0.0003,1.04
veri littl,grammar,0.00033,0.08,2.7,0.051,0.0002,1.36
bug fix,programming,0.00417,0.654,2.6,0.408,0.0034,1.03
use class,programming,0.00302,0.649,2.6,0.403,0.0024,0.96
exampl use,programming,0.00531,0.644,2.6,0.398,0.0042,1.16
user interfac,programming,0.00646,0.637,2.6,0.392,0.0049,1.02
veri simpl,programming,0.00409,0.633,2.6,0.387,0.0031,1.05
use window,computer,0.00163,0.328,2.6,0.201,0.001,1.01
doubl click,computer,0.00139,0.327,2.6,0.2,0.0008,1.02
new version,java,0.00196,0.253,2.6,0.157,0.0012,1.22
more complex,java,0.00114,0.25,2.6,0.154,0.0007,0.99
home page,java,0.00351,0.244,2.6,0.149,0.0019,1.06
commonli use,english,0.00098,0.226,2.6,0.138,0.0005,1.19
onc again,style,0.00074,0.153,2.6,0.095,0.0004,1.03
san francisco,style,0.00098,0.15,2.6,0.092,0.0005,1.0
net jump,style,0.0009,0.149,2.6,0.091,0.0005,1.01
here exampl,style,0.00065,0.148,2.6,0.09,0.0003,1.35
adob flash,religion,0.00139,0.132,2.6,0.081,0.0007,1.15
improv articl,religion,0.00057,0.132,2.6,0.082,0.0003,1.02
document length,religion,0.00057,0.13,2.6,0.079,0.0003,1.91
such thing,religion,0.00065,0.129,2.6,0.079,0.0003,1.25
tri again,religion,0.00147,0.129,2.6,0.079,0.0008,1.1
last updat,grammar,0.00065,0.075,2.6,0.046,0.0003,0.91
command line,programming,0.00629,0.616,2.5,0.371,0.0045,1.02
download page,programming,0.00327,0.615,2.5,0.369,0.0023,1.19
browser support,programming,0.00441,0.614,2.5,0.368,0.0031,1.08
current version,programming,0.0027,0.611,2.5,0.365,0.0019,1.04
york time,culture,0.00278,0.436,2.5,0.259,0.0016,1.0
imag navig,science,0.00163,0.312,2.5,0.19,0.0009,1.12
free onlin,language,0.00172,0.304,2.5,0.183,0.001,1.08
thing happen,language,0.00147,0.3,2.5,0.179,0.0008,1.1
object orient,language,0.00253,0.298,2.5,0.177,0.0013,1.04
two year,politics,0.00139,0.254,2.5,0.154,0.0008,0.93
net jump,java,0.00147,0.243,2.5,0.148,0.0008,1.01
line code,java,0.00106,0.241,2.5,0.145,0.0006,1.06
use new,java,0.00147,0.24,2.5,0.144,0.0008,1.22
method use,java,0.00106,0.236,2.5,0.141,0.0005,0.82
solv problem,philosophy,0.00114,0.177,2.5,0.106,0.0006,1.09
imag file,style,0.00082,0.147,2.5,0.089,0.0004,1.37
new array,style,0.00082,0.147,2.5,0.089,0.0004,1.07
blank document,style,0.00074,0.145,2.5,0.087,0.0004,1.03
few week,style,0.00065,0.145,2.5,0.088,0.0003,1.1
function return,style,0.00082,0.145,2.5,0.087,0.0004,1.59
pleas choos,style,0.00065,0.145,2.5,0.088,0.0003,1.11
post comment,style,0.00229,0.144,2.5,0.087,0.0011,1.26
want share,style,0.00074,0.143,2.5,0.085,0.0004,1.29
point view,religion,0.00082,0.127,2.5,0.076,0.0004,1.14
post video,religion,0.00057,0.125,2.5,0.075,0.0003,1.79
link page,grammar,0.00041,0.074,2.5,0.044,0.0002,1.6
new array,grammar,0.00041,0.074,2.5,0.044,0.0002,1.07
peopl don,grammar,0.00033,0.073,2.5,0.044,0.0002,1.76
use same,grammar,0.00049,0.072,2.5,0.043,0.0002,1.71
font size,design,0.00335,0.641,2.4,0.372,0.0023,0.98
browser support,web,0.00458,0.636,2.4,0.372,0.0031,0.97
method use,programming,0.0027,0.6,2.4,0.354,0.0018,0.9
get start,programming,0.00515,0.594,2.4,0.349,0.0034,1.2
bug report,programming,0.00286,0.593,2.4,0.347,0.0019,1.02
file name,programming,0.00286,0.593,2.4,0.347,0.0019,1.09
pleas take,internet,0.00253,0.348,2.4,0.206,0.0014,1.05
under gnu,computer,0.00163,0.303,2.4,0.176,0.0008,1.95
human be,science,0.00139,0.298,2.4,0.176,0.0007,0.94
script document,science,0.00213,0.292,2.4,0.17,0.0011,2.54
never use,writing,0.00114,0.275,2.4,0.159,0.0006,1.3
long term,politics,0.00131,0.242,2.4,0.143,0.0007,1.0
new york,politics,0.00654,0.242,2.4,0.143,0.0033,1.0
new date,politics,0.00155,0.241,2.4,0.141,0.0008,1.23
next week,politics,0.00098,0.235,2.4,0.136,0.0005,0.98
document imag,java,0.00155,0.232,2.4,0.136,0.0008,1.15
oper system,java,0.00335,0.229,2.4,0.134,0.0016,0.98
veri simpl,java,0.00147,0.228,2.4,0.132,0.0007,1.01
file use,java,0.00139,0.227,2.4,0.131,0.0007,1.17
great deal,philosophy,0.00074,0.173,2.4,0.102,0.0004,1.04
new way,philosophy,0.00074,0.173,2.4,0.102,0.0004,1.36
mani peopl,philosophy,0.00237,0.172,2.4,0.101,0.0011,1.01
polici disclaim,philosophy,0.0027,0.172,2.4,0.101,0.0013,1.09
tri make,philosophy,0.0009,0.172,2.4,0.101,0.0004,1.31
much time,philosophy,0.00074,0.17,2.4,0.099,0.0003,1.14
avail under,philosophy,0.00294,0.167,2.4,0.097,0.0013,1.06
disclaim window,philosophy,0.0027,0.167,2.4,0.096,0.0012,1.01
long term,philosophy,0.0009,0.167,2.4,0.096,0.0004,1.06
term condit,style,0.00106,0.141,2.4,0.084,0.0005,1.02
background imag,style,0.00057,0.14,2.4,0.082,0.0003,0.77
friend famili,style,0.00065,0.14,2.4,0.083,0.0003,0.95
more work,style,0.00057,0.14,2.4,0.082,0.0003,1.98
veri cool,style,0.00057,0.14,2.4,0.082,0.0003,1.08
veri veri,style,0.00057,0.14,2.4,0.082,0.0003,1.13
don understand,style,0.00065,0.138,2.4,0.08,0.0003,1.2
few month,style,0.00065,0.138,2.4,0.08,0.0003,1.1
check back,style,0.00057,0.137,2.4,0.08,0.0003,1.18
well known,style,0.00106,0.137,2.4,0.079,0.0005,1.11
valu valu,style,0.00074,0.136,2.4,0.079,0.0003,1.15
year old,religion,0.00139,0.121,2.4,0.07,0.0006,1.07
here list,grammar,0.00033,0.071,2.4,0.042,0.0001,1.15
user experi,design,0.00253,0.62,2.3,0.351,0.0016,1.0
forgot includ,web,0.00245,0.6,2.3,0.335,0.0014,1.02
veri cool,web,0.00245,0.6,2.3,0.335,0.0014,1.01
need creat,programming,0.00237,0.58,2.3,0.333,0.0015,1.13
text editor,programming,0.00245,0.577,2.3,0.33,0.0015,0.98
open sourc,programming,0.01978,0.576,2.3,0.335,0.0121,1.01
use use,programming,0.00278,0.576,2.3,0.33,0.0017,1.24
use new,programming,0.00351,0.573,2.3,0.327,0.0021,1.18
best practic,programming,0.00245,0.566,2.3,0.319,0.0014,1.1
make use,programming,0.00294,0.562,2.3,0.316,0.0017,1.45
free onlin,education,0.00253,0.449,2.3,0.257,0.0014,1.08
contact inform,education,0.0018,0.44,2.3,0.247,0.0009,1.24
year old,culture,0.00474,0.411,2.3,0.235,0.0025,1.04
version version,culture,0.0018,0.407,2.3,0.23,0.0009,2.64
human be,culture,0.00188,0.404,2.3,0.226,0.0009,0.99
video game,culture,0.00172,0.404,2.3,0.227,0.0009,1.08
public domain,internet,0.0018,0.333,2.3,0.191,0.0009,0.97
term servic,internet,0.00237,0.333,2.3,0.191,0.0012,1.06
use search,internet,0.00163,0.333,2.3,0.191,0.0008,1.13
sourc softwar,computer,0.00131,0.296,2.3,0.169,0.0006,1.27
see new,computer,0.00139,0.293,2.3,0.166,0.0007,1.61
improv articl,language,0.00123,0.283,2.3,0.162,0.0006,1.03
question comment,language,0.00163,0.282,2.3,0.16,0.0008,1.32
york time,writing,0.00172,0.269,2.3,0.154,0.0008,1.06
comment tri,politics,0.00147,0.231,2.3,0.131,0.0007,1.21
save close,politics,0.00147,0.228,2.3,0.128,0.0006,1.03
confirm email,politics,0.00147,0.225,2.3,0.125,0.0006,1.15
frequent ask,java,0.00139,0.221,2.3,0.125,0.0006,1.01
respect owner,java,0.00139,0.221,2.3,0.125,0.0006,1.03
more detail,java,0.00441,0.219,2.3,0.123,0.0019,1.04
return function,java,0.00114,0.219,2.3,0.123,0.0005,2.5
contact inform,english,0.00082,0.2,2.3,0.112,0.0003,1.43
pleas choos,english,0.0009,0.2,2.3,0.112,0.0004,1.11
more more,philosophy,0.00106,0.165,2.3,0.094,0.0005,1.41
point out,philosophy,0.00172,0.165,2.3,0.095,0.0008,1.07
year later,philosophy,0.00082,0.161,2.3,0.09,0.0003,1.23
subscrib feed,style,0.00074,0.134,2.3,0.077,0.0003,1.47
credit card,style,0.00057,0.132,2.3,0.074,0.0002,1.0
target blank,style,0.00082,0.132,2.3,0.074,0.0003,1.0
question answer,religion,0.0009,0.118,2.3,0.068,0.0004,1.51
flash player,religion,0.00213,0.115,2.3,0.065,0.0009,1.04
new way,religion,0.00049,0.115,2.3,0.065,0.0002,1.82
pleas help,religion,0.00082,0.115,2.3,0.064,0.0003,1.63
pleas visit,grammar,0.00041,0.067,2.3,0.038,0.0002,0.97
thing happen,grammar,0.00033,0.067,2.3,0.037,0.0001,1.28
search engin,web,0.01022,0.598,2.2,0.336,0.006,1.01
rubi rail,web,0.00327,0.597,2.2,0.332,0.0019,1.02
share photo,design,0.00253,0.596,2.2,0.327,0.0014,1.31
imag use,web,0.00262,0.593,2.2,0.328,0.0015,1.24
comment copi,web,0.00237,0.58,2.2,0.315,0.0013,1.03
origin comment,web,0.00237,0.58,2.2,0.315,0.0013,1.09
veri cool,design,0.00237,0.58,2.2,0.311,0.0012,1.01
font size,web,0.00302,0.578,2.2,0.313,0.0016,1.01
comment file,web,0.00245,0.577,2.2,0.312,0.0013,1.23
search result,web,0.00335,0.577,2.2,0.313,0.0018,1.0
new featur,programming,0.00629,0.55,2.2,0.304,0.0034,1.17
make easier,programming,0.00335,0.547,2.2,0.3,0.0018,1.12
start use,programming,0.00286,0.547,2.2,0.3,0.0015,1.13
file use,programming,0.00327,0.533,2.2,0.287,0.0017,1.06
new york,culture,0.01038,0.385,2.2,0.209,0.0046,1.0
repli email,internet,0.00139,0.321,2.2,0.178,0.0006,1.03
free onlin,internet,0.0018,0.319,2.2,0.176,0.0008,1.2
york time,internet,0.00196,0.308,2.2,0.165,0.0008,1.06
file format,computer,0.00147,0.286,2.2,0.159,0.0007,1.16
releas under,computer,0.00155,0.284,2.2,0.156,0.0007,0.91
human be,books,0.00131,0.281,2.2,0.155,0.0006,1.09
polici term,computer,0.00155,0.279,2.2,0.152,0.0007,1.31
see new,science,0.00131,0.276,2.2,0.153,0.0006,1.57
free onlin,books,0.00155,0.275,2.2,0.15,0.0006,1.32
function call,language,0.00114,0.269,2.2,0.148,0.0005,1.05
comment suggest,science,0.00123,0.268,2.2,0.145,0.0005,1.44
document imag,science,0.0018,0.268,2.2,0.146,0.0007,1.27
pleas choos,writing,0.00114,0.255,2.2,0.139,0.0005,1.04
veri well,writing,0.00163,0.253,2.2,0.138,0.0007,1.17
pleas wait,writing,0.00123,0.25,2.2,0.134,0.0005,1.02
friend famili,history,0.00114,0.246,2.2,0.136,0.0005,1.33
favorit add,politics,0.00139,0.224,2.2,0.124,0.0006,1.18
navig navig,politics,0.00123,0.224,2.2,0.124,0.0005,1.13
remov favorit,politics,0.00139,0.224,2.2,0.124,0.0006,1.0
version version,politics,0.00098,0.222,2.2,0.122,0.0004,2.78
close video,politics,0.00139,0.221,2.2,0.121,0.0006,0.98
comment enter,politics,0.00139,0.221,2.2,0.121,0.0006,1.08
comment form,politics,0.00155,0.221,2.2,0.121,0.0006,1.14
comment pend,politics,0.00139,0.221,2.2,0.121,0.0006,1.0
enter short,politics,0.00139,0.221,2.2,0.121,0.0006,1.06
imag correct,politics,0.00139,0.221,2.2,0.121,0.0006,1.09
letter imag,politics,0.00139,0.221,2.2,0.121,0.0006,1.08
pend approv,politics,0.00139,0.221,2.2,0.121,0.0006,1.0
pend comment,politics,0.00139,0.221,2.2,0.121,0.0006,1.0
respons letter,politics,0.00139,0.221,2.2,0.121,0.0006,1.01
shorter comment,politics,0.00139,0.221,2.2,0.121,0.0006,1.0
again comment,politics,0.00139,0.218,2.2,0.118,0.0006,1.18
click confirm,politics,0.00139,0.218,2.2,0.118,0.0006,1.05
correct pleas,politics,0.00139,0.218,2.2,0.118,0.0006,1.21
flag video,politics,0.00139,0.218,2.2,0.118,0.0006,1.0
form comment,politics,0.00139,0.218,2.2,0.118,0.0006,1.12
object comment,politics,0.00139,0.218,2.2,0.118,0.0006,1.1
object empti,politics,0.00139,0.218,2.2,0.118,0.0006,1.01
return comment,politics,0.00139,0.218,2.2,0.118,0.0006,1.08
video remov,politics,0.00139,0.218,2.2,0.118,0.0006,1.05
enter comment,politics,0.00147,0.217,2.2,0.117,0.0006,1.06
empti enter,politics,0.00139,0.215,2.2,0.115,0.0005,1.03
hello turn,politics,0.00139,0.215,2.2,0.115,0.0005,1.0
mail list,java,0.0036,0.215,2.2,0.119,0.0015,1.04
video ad,politics,0.00139,0.215,2.2,0.115,0.0005,1.11
be use,java,0.00106,0.213,2.2,0.118,0.0004,1.05
download latest,java,0.00106,0.21,2.2,0.114,0.0004,0.86
latest news,java,0.00106,0.21,2.2,0.114,0.0004,1.13
use tool,java,0.00139,0.21,2.2,0.114,0.0006,1.04
exampl use,java,0.00172,0.208,2.2,0.112,0.0007,0.99
file format,java,0.00106,0.206,2.2,0.111,0.0004,1.31
alert pleas,english,0.00082,0.196,2.2,0.108,0.0003,1.02
doubl click,english,0.00082,0.192,2.2,0.104,0.0003,1.02
differ between,philosophy,0.00221,0.159,2.2,0.088,0.0009,1.01
same time,philosophy,0.00188,0.156,2.2,0.086,0.0007,0.98
wast time,philosophy,0.00074,0.153,2.2,0.082,0.0003,1.08
littl more,style,0.00065,0.125,2.2,0.067,0.0002,0.86
